Age Group,Age Group Name,Date,Expanded,Expanded by year,Frequency,Indicator,Indicator Name,Location,Location_Name,Location Name (copy),Location RegionId,Measure,Measure Name,Measure Unit,Units,% Uninsured,Scale
KN.A1,All Age Group,1/1/2014,Not Expanded,Not Expanded,A,KN.VA33,Direct Purchase,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,12.8,1
KN.A1,All Age Group,1/1/2015,Not Expanded,Not Expanded,A,KN.VA33,Direct Purchase,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,14.2,1
KN.A1,All Age Group,1/1/2016,Not Expanded,Not Expanded,A,KN.VA33,Direct Purchase,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,14.9,1
KN.A1,All Age Group,1/1/2017,Not Expanded,Not Expanded,A,KN.VA33,Direct Purchase,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,14,1
KN.A1,All Age Group,1/1/2018,Not Expanded,Not Expanded,A,KN.VA33,Direct Purchase,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,13.4,1
KN.A1,All Age Group,1/1/2019,Not Expanded,Not Expanded,A,KN.VA33,Direct Purchase,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,13.3,1
KN.A1,All Age Group,1/1/2008,Not Expanded,Not Expanded,A,KN.VA38,Tricare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,4.2,1
KN.A1,All Age Group,1/1/2009,Not Expanded,Not Expanded,A,KN.VA38,Tricare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,4,1
KN.A1,All Age Group,1/1/2010,Not Expanded,Not Expanded,A,KN.VA38,Tricare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,4.4,1
KN.A1,All Age Group,1/1/2011,Not Expanded,Not Expanded,A,KN.VA38,Tricare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,4.7,1
KN.A1,All Age Group,1/1/2012,Not Expanded,Not Expanded,A,KN.VA38,Tricare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,4.6,1
KN.A1,All Age Group,1/1/2013,Not Expanded,Not Expanded,A,KN.VA38,Tricare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,4.3,1
KN.A1,All Age Group,1/1/2014,Not Expanded,Not Expanded,A,KN.VA38,Tricare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,4.4,1
KN.A1,All Age Group,1/1/2015,Not Expanded,Not Expanded,A,KN.VA38,Tricare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,4.3,1
KN.A1,All Age Group,1/1/2016,Not Expanded,Not Expanded,A,KN.VA38,Tricare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,4.5,1
KN.A1,All Age Group,1/1/2017,Not Expanded,Not Expanded,A,KN.VA38,Tricare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,4.5,1
KN.A1,All Age Group,1/1/2018,Not Expanded,Not Expanded,A,KN.VA38,Tricare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,4.6,1
KN.A1,All Age Group,1/1/2019,Not Expanded,Not Expanded,A,KN.VA38,Tricare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,4.8,1
KN.A1,All Age Group,1/1/2008,Not Expanded,Not Expanded,A,KN.VA44,Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,30.6,1
KN.A1,All Age Group,1/1/2009,Not Expanded,Not Expanded,A,KN.VA44,Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,31.8,1
KN.A1,All Age Group,1/1/2010,Not Expanded,Not Expanded,A,KN.VA44,Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,32.5,1
KN.A1,All Age Group,1/1/2011,Not Expanded,Not Expanded,A,KN.VA44,Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,33.1,1
KN.A1,All Age Group,1/1/2012,Not Expanded,Not Expanded,A,KN.VA44,Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,34.6,1
KN.A1,All Age Group,1/1/2013,Not Expanded,Not Expanded,A,KN.VA44,Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,34.8,1
KN.A1,All Age Group,1/1/2014,Not Expanded,Not Expanded,A,KN.VA44,Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,35.5,1
KN.A1,All Age Group,1/1/2015,Not Expanded,Not Expanded,A,KN.VA44,Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,36.6,1
KN.A1,All Age Group,1/1/2016,Not Expanded,Not Expanded,A,KN.VA44,Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,36.9,1
KN.A1,All Age Group,1/1/2017,Not Expanded,Not Expanded,A,KN.VA44,Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,37.8,1
KN.A1,All Age Group,1/1/2018,Not Expanded,Not Expanded,A,KN.VA44,Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,37.2,1
KN.A1,All Age Group,1/1/2019,Not Expanded,Not Expanded,A,KN.VA44,Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,37.3,1
KN.A1,All Age Group,1/1/2008,Not Expanded,Not Expanded,A,KN.VA49,Medicaid,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,16.5,1
KN.A1,All Age Group,1/1/2009,Not Expanded,Not Expanded,A,KN.VA49,Medicaid,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,17.7,1
KN.A1,All Age Group,1/1/2010,Not Expanded,Not Expanded,A,KN.VA49,Medicaid,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,18.2,1
KN.A1,All Age Group,1/1/2011,Not Expanded,Not Expanded,A,KN.VA49,Medicaid,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,18.3,1
KN.A1,All Age Group,1/1/2012,Not Expanded,Not Expanded,A,KN.VA49,Medicaid,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,19.5,1
KN.A1,All Age Group,1/1/2013,Not Expanded,Not Expanded,A,KN.VA49,Medicaid,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,19.2,1
KN.A1,All Age Group,1/1/2014,Not Expanded,Not Expanded,A,KN.VA49,Medicaid,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,19.6,1
KN.A1,All Age Group,1/1/2015,Not Expanded,Not Expanded,A,KN.VA49,Medicaid,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,20.1,1
KN.A1,All Age Group,1/1/2016,Not Expanded,Not Expanded,A,KN.VA49,Medicaid,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,20.1,1
KN.A1,All Age Group,1/1/2017,Not Expanded,Not Expanded,A,KN.VA49,Medicaid,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,20.5,1
KN.A1,All Age Group,1/1/2018,Not Expanded,Not Expanded,A,KN.VA49,Medicaid,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,19.7,1
KN.A1,All Age Group,1/1/2019,Not Expanded,Not Expanded,A,KN.VA49,Medicaid,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,19.6,1
KN.A1,All Age Group,1/1/2008,Not Expanded,Not Expanded,A,KN.VA54,Medicare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,16.8,1
KN.A1,All Age Group,1/1/2009,Not Expanded,Not Expanded,A,KN.VA54,Medicare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,16.9,1
KN.A1,All Age Group,1/1/2010,Not Expanded,Not Expanded,A,KN.VA54,Medicare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,17,1
KN.A1,All Age Group,1/1/2011,Not Expanded,Not Expanded,A,KN.VA54,Medicare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,17.4,1
KN.A1,All Age Group,1/1/2012,Not Expanded,Not Expanded,A,KN.VA54,Medicare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,18.2,1
KN.A1,All Age Group,1/1/2013,Not Expanded,Not Expanded,A,KN.VA54,Medicare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,18.6,1
KN.A1,All Age Group,1/1/2014,Not Expanded,Not Expanded,A,KN.VA54,Medicare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,18.8,1
KN.A1,All Age Group,1/1/2015,Not Expanded,Not Expanded,A,KN.VA54,Medicare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,19.4,1
KN.A1,All Age Group,1/1/2016,Not Expanded,Not Expanded,A,KN.VA54,Medicare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,19.8,1
KN.A1,All Age Group,1/1/2017,Not Expanded,Not Expanded,A,KN.VA54,Medicare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,20.3,1
KN.A1,All Age Group,1/1/2018,Not Expanded,Not Expanded,A,KN.VA54,Medicare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,20.5,1
KN.A1,All Age Group,1/1/2019,Not Expanded,Not Expanded,A,KN.VA54,Medicare,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,20.8,1
KN.A1,All Age Group,1/1/2008,Not Expanded,Not Expanded,A,KN.VA59,VA Care,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,2.7,1
KN.A1,All Age Group,1/1/2009,Not Expanded,Not Expanded,A,KN.VA59,VA Care,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,2.6,1
KN.A1,All Age Group,1/1/2010,Not Expanded,Not Expanded,A,KN.VA59,VA Care,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,2.5,1
KN.A1,All Age Group,1/1/2011,Not Expanded,Not Expanded,A,KN.VA59,VA Care,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,2.8,1
KN.A1,All Age Group,1/1/2012,Not Expanded,Not Expanded,A,KN.VA59,VA Care,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,2.7,1
KN.A1,All Age Group,1/1/2013,Not Expanded,Not Expanded,A,KN.VA59,VA Care,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,2.6,1
KN.A1,All Age Group,1/1/2014,Not Expanded,Not Expanded,A,KN.VA59,VA Care,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,2.6,1
KN.A1,All Age Group,1/1/2015,Not Expanded,Not Expanded,A,KN.VA59,VA Care,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,2.9,1
KN.A1,All Age Group,1/1/2016,Not Expanded,Not Expanded,A,KN.VA59,VA Care,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,2.9,1
KN.A1,All Age Group,1/1/2017,Not Expanded,Not Expanded,A,KN.VA59,VA Care,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,3,1
KN.A1,All Age Group,1/1/2018,Not Expanded,Not Expanded,A,KN.VA59,VA Care,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,2.9,1
KN.A1,All Age Group,1/1/2019,Not Expanded,Not Expanded,A,KN.VA59,VA Care,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,2.7,1
KN.A1,All Age Group,1/1/2008,Not Expanded,Not Expanded,A,KN.VA12,Uninsured,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,13.3,1
KN.A1,All Age Group,1/1/2009,Not Expanded,Not Expanded,A,KN.VA12,Uninsured,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,13.8,1
KN.A1,All Age Group,1/1/2010,Not Expanded,Not Expanded,A,KN.VA12,Uninsured,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,14.6,1
KN.A1,All Age Group,1/1/2011,Not Expanded,Not Expanded,A,KN.VA12,Uninsured,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,14.3,1
KN.A1,All Age Group,1/1/2012,Not Expanded,Not Expanded,A,KN.VA12,Uninsured,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,13.3,1
KN.A1,All Age Group,1/1/2013,Not Expanded,Not Expanded,A,KN.VA12,Uninsured,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,13.6,1
KN.A1,All Age Group,1/1/2014,Not Expanded,Not Expanded,A,KN.VA12,Uninsured,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,12.1,1
KN.A1,All Age Group,1/1/2015,Not Expanded,Not Expanded,A,KN.VA12,Uninsured,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,10.1,1
KN.A1,All Age Group,1/1/2016,Not Expanded,Not Expanded,A,KN.VA12,Uninsured,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,9.1,1
KN.A1,All Age Group,1/1/2017,Not Expanded,Not Expanded,A,KN.VA12,Uninsured,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,9.4,1
KN.A1,All Age Group,1/1/2018,Not Expanded,Not Expanded,A,KN.VA12,Uninsured,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,10,1
KN.A1,All Age Group,1/1/2019,Not Expanded,Not Expanded,A,KN.VA12,Uninsured,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,9.7,1
KN.A1,All Age Group,1/1/2008,Expanded,Expanded 2015,A,KN.VA11,Health Insurance Coverage Status,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2009,Expanded,Expanded 2015,A,KN.VA11,Health Insurance Coverage Status,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2010,Expanded,Expanded 2015,A,KN.VA11,Health Insurance Coverage Status,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2011,Expanded,Expanded 2015,A,KN.VA11,Health Insurance Coverage Status,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2012,Expanded,Expanded 2015,A,KN.VA11,Health Insurance Coverage Status,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2013,Expanded,Expanded 2015,A,KN.VA11,Health Insurance Coverage Status,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2014,Expanded,Expanded 2015,A,KN.VA11,Health Insurance Coverage Status,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2015,Expanded,Expanded 2015,A,KN.VA11,Health Insurance Coverage Status,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2016,Expanded,Expanded 2015,A,KN.VA11,Health Insurance Coverage Status,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2017,Expanded,Expanded 2015,A,KN.VA11,Health Insurance Coverage Status,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2018,Expanded,Expanded 2015,A,KN.VA11,Health Insurance Coverage Status,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2019,Expanded,Expanded 2015,A,KN.VA11,Health Insurance Coverage Status,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2008,Expanded,Expanded 2015,A,KN.VA17,Covered by Private or Government Health Insurance,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,80.9,1
KN.A1,All Age Group,1/1/2009,Expanded,Expanded 2015,A,KN.VA17,Covered by Private or Government Health Insurance,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,78.9,1
KN.A1,All Age Group,1/1/2010,Expanded,Expanded 2015,A,KN.VA17,Covered by Private or Government Health Insurance,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,80.1,1
KN.A1,All Age Group,1/1/2011,Expanded,Expanded 2015,A,KN.VA17,Covered by Private or Government Health Insurance,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,79.9,1
KN.A1,All Age Group,1/1/2012,Expanded,Expanded 2015,A,KN.VA17,Covered by Private or Government Health Insurance,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,79.5,1
KN.A1,All Age Group,1/1/2013,Expanded,Expanded 2015,A,KN.VA17,Covered by Private or Government Health Insurance,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,81.5,1
KN.A1,All Age Group,1/1/2014,Expanded,Expanded 2015,A,KN.VA17,Covered by Private or Government Health Insurance,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,82.8,1
KN.A1,All Age Group,1/1/2015,Expanded,Expanded 2015,A,KN.VA17,Covered by Private or Government Health Insurance,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,85.1,1
KN.A1,All Age Group,1/1/2016,Expanded,Expanded 2015,A,KN.VA17,Covered by Private or Government Health Insurance,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,86,1
KN.A1,All Age Group,1/1/2017,Expanded,Expanded 2015,A,KN.VA17,Covered by Private or Government Health Insurance,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,86.3,1
KN.A1,All Age Group,1/1/2018,Expanded,Expanded 2015,A,KN.VA17,Covered by Private or Government Health Insurance,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,87.4,1
KN.A1,All Age Group,1/1/2019,Expanded,Expanded 2015,A,KN.VA17,Covered by Private or Government Health Insurance,US_AK,Alaska,Alaska,US_AK,M.13,Percent,%,%,87.8,1
